#,cambio,metrica_train,metrica_test,brecha,delta,delta_marginal,filas,columnas,segundos,queda
0,Base sin limpiar,0.2903,0.2883,-0.0019,0.0,,389508,1,10.4,#0
1,"(referencia) sólo dummies, sin limpiar",0.3059,0.3038,-0.0021,0.0155,0.0155,389508,63,12.8,sí
2,+filtrar opiniones sin rating,0.3059,0.3038,-0.0021,0.0155,0.0,389508,63,11.9,ruido
3,+descartar libros inexistentes,0.3076,0.3015,-0.0061,0.0132,-0.0023,388842,63,12.0,ruido
4,+año de nacimiento imposible → nulo,0.3044,0.2985,-0.0059,0.0102,-0.003,388842,63,11.8,ruido
5,+año de edición ilegible → nulo,0.3064,0.2942,-0.0122,0.0059,-0.0043,388842,64,12.5,ruido
6,+normalizar vive_en → región,0.3096,0.2994,-0.0102,0.0111,0.0052,388842,71,13.8,sí
7,+imputar género del lector,0.3136,0.3036,-0.01,0.0153,0.0042,388842,74,14.1,ruido
8,+imputar categóricas con Desconocido,0.315,0.3043,-0.0107,0.016,0.0007,388842,63,13.4,ruido
9,+año de edición posterior a la opinión → nulo,0.3133,0.3031,-0.0102,0.0148,-0.0012,388842,63,13.8,ruido
10,= PIPELINE FINAL (sólo lo que quedó),0.313,0.3068,-0.0062,0.0185,,389508,64,14.3,final
